Workshop,Kategorie,Datum,Land,Location,Pole Studio,URL_E,Art,Level,Beschreibung,Trainer,Uhrzeit,Preis,Einheiten
Strip Dance,Poledance,"Sonntag, 2. Februar 2025",,14:30 - 16:30,PoleFit Aline Sustrath,https://www.eversports.de/e/workshop/tCr26Fh,Workshop,,"Willkommen zum Striptease Valentines Special. :) Kurz vorm Valentinstag wird es heiß bei uns! In unserem sexy Valentinstagsspecial lernst du die Kunst des Verführens, wie man sich weiblich und sinnlich bewegt und sich zugleich elegant seiner Kleidung entledigt. Selbstverständlich zieht sich dabei niemand tatsächlich aus. Die erste hälfte vom Lied tanzen wir angezogen Sexy an der Stange. Mit fließendem Übergang folgt die sexy Floorwork Choreographie bei der wir uns langsam die Kleider ausziehen werden. Ihr könnt entscheiden ob Ihr Unterwäsche oder ein Poledance Outfit drunter zieht - dies lassen wir an! Ihr müsst folgendes anziehen:  Lange Socken die mindestens bis unters Knie gehen. Eine Leggins, die aber am Fuß Bund nicht zu eng ist. Ein eng anliegendes T- Shirt und ein Hoody mit Reißverschluss und Kapuze.",,14:30 - 16:30,"ab 60,00 €",1 Einheit
Hard Flow Workshop by Natalie,Poledance,"Sonntag, 30. März 2025",,Hard Flow Workshop by Natalie,PoleFit Aline Sustrath,https://www.eversports.de/e/workshop/fg0Rjqg,Workshop,,"Hard Flow Workshop mit Natalie – Tanz mal anders!  Der brandneue Hard Flow Workshop ist da – ein Style, der dich mit coolen Moves, flottem Tempo und jeder Menge Power begeistern wird!  Was erwartet dich? Dieser Workshop ist alles andere als gewöhnlich. Statt schwieriger Drops und komplizierter Moves zeigen wir dir coole, stylische Bewegungen, die garantiert neu für dich sind. Ganz ohne Druck – dafür mit jeder Menge Spaß und Energie! Du solltest auf jeden Fall schon ein wenig Heels Erfahrung mitbringen. Mach dich bereit für eine heiße Performance zu einem echten Klassiker! Der Song „Work It“ von Missy Elliott wird dich von der ersten Sekunde an mitreißen.  Was du brauchst: Bist du bereit?Es wird ein riesiger Spaß! Lass uns gemeinsam loslegen, die Moves lernen und einfach eine großartige Zeit haben. Der Hard Flow Workshop ist genau das, was du gebraucht hast, um dein Tanz-Game auf das nächste Level zu bringen!  Melde dich schnell an – es wird heiß! ",,12:00 - 13:30,"ab 40,00 €",1 Einheit
Flow Choreo Workshop by Natalie,Poledance,"Sonntag, 30. März 2025",,Flow Choreo Workshop mit Natalie,PoleFit Aline Sustrath,https://www.eversports.de/e/workshop/_Yk80_C,Workshop,,"In dieser Flow Choreo widmen wir uns flüssigen Übergängen zu einem hypnotisierenden Lied. Was du brauchst: Ich freue mich riesig darauf, diese Choreo mit dir zu tanzen! Wenn du Fragen hast oder mehr Infos brauchst, schreib mir einfach auf Instagram: @ja_natali_ja.",,14:00 - 15:30,"ab 40,00 €",1 Einheit
Poledance Einsteiger Workshop - Weihnachts Deal - 4 Wochen,Poledance,"Begann am Freitag, 10. Januar 2025",,18:00 - 19:00,PoleRoom Braunschweig,https://www.eversports.de/e/workshop/GZmWSf-,Workshop,,"*Weihnachts-Deal*  Bei Buchung dieses Workshops sparst Du 16€ zum herkömmlichen Preis! Du wolltest Poledance schon immer mal ausprobieren? Genau jetzt ist die richtige Zeit dafür! Schluss mit den Entbehrungen - Auf in ein neues sportliches Abenteuer! Teste den Pole Sport und unser Studio einen Monat lang auf Herz und Nieren und bekomme einen Eindruck, wie es ist eine Polerina zu sein. Entdecke Dich neu und spüre wie diese Sportart Deinem Körpergefühl und Deinem Selbstbewusstsein neuen Schwung verleiht! Inhalt: 4 Poledance-Einheiten/ 4 Wochen - inklusive der kostenlosen Nutzung des freien Trainings (Open Class) - für nur 59 Euro Was trägst du beim Poledance? Beim Poledance trägst Du eine kurze Sporthose (am besten eine ganz kurze Hotpants), einen Sport-BH/ -top und bringst bitte ein Mikrofasertuch, sowie ein Getränk (keine Glasflaschen) mit. Wir trainieren auf Socken und/ oder barfuß. Turnschuhe sind nicht erforderlich. Schmuck (Ringe, Armbänder, Ketten etc.) und Piercings MÜSSEN (!) abgelegt werden, da sonst das Verletzungsrisiko erhöht ist und/ oder die Stangen beschädigt werden können. Dein PoleRoom Team",,"Büchnerstraße 10, 38118 Braunschweig",Ausgebucht,4 Einheiten
Poledance Schnupperstunde,Poledance,"Sonntag, 26. Januar 2025",,"Büchnerstraße 10, 38118 Braunschweig",PoleRoom Braunschweig,https://www.eversports.de/e/workshop/8uSzuX-,Workshop,,"Du wolltest Poledance schon immer mal ausprobieren? Genau jetzt ist die richtige Zeit dafür - auf in ein neues sportliches Abenteuer! Teste den Pole Sport und unser Studio und bekomme einen Eindruck, wie es ist eine Polerina zu sein. Entdecke Dich neu und spüre wie diese Sportart Deinem Körpergefühl und Deinem Selbstbewusstsein neuen Schwung verleiht! Der Kurs wird nur von absoluten Anfängern belegt und deine Trainerin führt dich in die ersten Basics des Poledance ein. Eine Email mit den zu beachtenden Regeln in unserem Studio, bekommst du ein paar Tage vor dem Kurs. Es sind nur begrenzt Plätze verfügbar. ! Bitte ein eigenes Mikrofaser-Tuch mitbringen ! Viel Spaß wünscht dir, Dein PoleRoom Team",,17:00 - 18:00,Ausgebucht,1 Einheit
Aerial Hoop Schnupperkurs,Aerial Hoop,"Samstag, 1. Februar 2025",,"Büchnerstraße 10, 38118 Braunschweig",PoleRoom Braunschweig,https://www.eversports.de/e/workshop/Vc11qpJ,Workshop,,"Probiere Dich am Luftring aus und fliege mit uns! Aerial Hoop (auch Lyra oder Luftring genannt) ist ein Ring aus Edelstahl der in luftiger Höhe schwebt. In dem Ring kannst Du wunderschöne Hebefiguren machen, aber auch dynamische Bewegungen und Kombinationen. Und Du bemerkst in dieser Faszination kaum, dass es ein wunderbares Ganzkörper-Workout ist. Die Anzahl der Kursplätze ist begrenzt - Sichere Dir jetzt Deinen Platz!",,16:30 - 17:30,"ab 10,00 €",1 Einheit
Workshop- Aerial Zwerge (3-5 Jahre) - 4 Wochen,Kindersport,"Beginnt am Donnerstag, 6. Februar 2025",,15:45 - 16:30,PoleRoom Braunschweig,https://www.eversports.de/e/workshop/XjjTky7,Workshop,,"Spiel und Spaß mit dem Aerial Silk/ Hammock bzw. Aerial Yoga Tuch, was auch als Therapie-Schaukel genutzt wird. Dieser besondere Eltern-Kind Workshop, ermöglicht den ganz Kleinen ein erstes Eintauchen in die Welt der Luftakrobatik. Zudem stärkt es das Vertrauen und die Bindung zwischen den Kindern und ihren Bezugspersonen. Eine besondere Erfahrung, mit nicht nur körperlichen Vorteilen, sondern auch wertvollen Erinnerungen!  In einer entspannten und spaßigen Atmosphäre erlernen die Kids erste Übungen am Aerial Yoga Tuch. Bitte pro Kind mit einer erwachsenen Begleitperson kommen. Es werden keine Eltern-Kind Übungen im Tuch praktiziert, sondern die Eltern (oder andere Bezugspersonen) sind unterstützend für die Kinder da.  Jasmin, die Leiterin des Kurses ist selbst Mama und ausgebildete Erzieherin.",,"Büchnerstraße 10, 38118 Braunschweig","ab 59,00 €",4 Einheiten
Poledance Einsteiger Workshop - 4 Wochen,Poledance,"Beginnt am Freitag, 7. Februar 2025",,17:00 - 18:00,PoleRoom Braunschweig,https://www.eversports.de/e/workshop/in8Tvpm,Workshop,,"Du wolltest Poledance schon immer mal ausprobieren? Genau jetzt ist die richtige Zeit dafür! Schluss mit den Entbehrungen - Auf in ein neues sportliches Abenteuer! Teste den Pole Sport und unser Studio einen Monat lang auf Herz und Nieren und bekomme einen Eindruck, wie es ist eine Polerina zu sein. Entdecke Dich neu und spüre wie diese Sportart Deinem Körpergefühl und Deinem Selbstbewusstsein neuen Schwung verleiht! Inhalt: 4 Poledance-Einheiten/ 4 Wochen - für nur 75 Euro Was trägst du beim Poledance? Beim Poledance trägst Du eine kurze Sporthose (am besten eine kurze Hotpants), einen Sport-BH und Top und bringst bitte ein Mikrofasertuch, sowie ein Getränk (keine Glasflaschen) mit. Wir trainieren auf Socken und/ oder barfuß. Turnschuhe sind nicht erforderlich. Beim Warm Up kannst du gerne mit einer Jacke und Jogging Hose drüber starten. Schmuck (Ringe, Armbänder, Ketten etc.) und Piercings MÜSSEN (!) abgelegt werden, da sonst das Verletzungsrisiko erhöht ist und die Stangen beschädigt werden. Viel Spaß bei Deinem ersten Ausflug in die aufregende Welt des Poledance! Dein PoleRoom Team",,"Büchnerstraße 10, 38118 Braunschweig","ab 75,00 €",4 Einheiten
Aerial Silks Schnupperstunde,Aerial Silk,"Sonntag, 23. Februar 2025",,"Büchnerstraße 10, 38118 Braunschweig",PoleRoom Braunschweig,https://www.eversports.de/e/workshop/_VreK9f,Workshop,,"Das Vertikaltuch (bekannt unter dem englischen Begriff Aerial Silk) ist ein langes Stofftuch aus Feinjersey, das in der Mitte mit einer Vorrichtung an der Decke befestigt ist. Die Tücher werden zum Wickeln, Einhängen, Schwingen und Drehen in und aus den verschiedenen Positionen in der Luft verwendet. In den Tüchern kannst Du Figuren erlernen und diese zu fließenden Kombinationen verbinden. Die Anzahl der Kursplätze ist begrenzt - Sichere Dir jetzt Deinen Platz!",,16:30 - 17:30,"ab 15,00 €",1 Einheit
Pole Dance Exotic Teil III mit Bianca,Poledance,"Beginnt am Sonntag, 9. Februar 2025",,12:15 - 13:15,PoleSpirit,https://www.eversports.de/e/workshop/OWNIG4O,Workshop,,"Heiß, heißer, Exotic. Lass dich ein, wenn es um die Welt der High Heels geht. Schnapp dir deine High Heels, Knieschoner und los geht es. Unsere Trainerin Bianca freut sich mit Euch in 4 Terminen eine mega heiße Choreo zu zaubern.",,"Adlerstraße 242, 86633 Neuburg an der Donau",Ausgebucht,4 Einheiten
Invert Special,Poledance,"Beginnt am Montag, 10. Februar 2025",,17:00 - 18:00,PoleSpirit,https://www.eversports.de/e/workshop/YpeZInj,Workshop,,"Invert - das wohl schönste Gefühl Kopfüber zu hängen! Du kannst bereits einen Invert aber nicht sauber? Du versuchst schon lange eine Invert zu schaffen aber du kommst nicht weiter? Du kannst den Invert vom Boden aber der Aerial Invert ist noch nicht denkbar? Dann bist DU hier absolut richtig! In unseren Workshop geht es um Invert, Invert und nochmals Invert. Wir üben verschiedene Varianten wie man sicher uns sauber in den Invert kommt. Welche Muskelgruppen und welche verschiedene Möglichkeiten es gibt. Zusammen bringen wir uns auf das nächste Level. Gemeinsam trainieren wir, mit verschiedenen Übungen, das Ansteuern der Muskeln die wir für den Invert benötigen!",,"Adlerstraße 242, 86633 Neuburg an der Donau",Ausgebucht,2 Einheiten
Invert Special,Poledance,"Beginnt am Donnerstag, 20. März 2025",,17:15 - 18:15,PoleSpirit,https://www.eversports.de/e/workshop/_bBHXl9,Workshop,,"Invert - das wohl schönste Gefühl Kopfüber zu hängen! Du kannst bereits einen Invert aber nicht sauber? Du versuchst schon lange eine Invert zu schaffen aber du kommst nicht weiter? Du kannst den Invert vom Boden aber der Aerial Invert ist noch nicht denkbar? Dann bist DU hier absolut richtig! In unseren Workshop geht es um Invert, Invert und nochmals Invert. Wir üben verschiedene Varianten wie man sicher uns sauber in den Invert kommt. Welche Muskelgruppen und welche verschiedene Möglichkeiten es gibt. Zusammen bringen wir uns auf das nächste Level. Gemeinsam trainieren wir, mit verschiedenen Übungen, das Ansteuern der Muskeln die wir für den Invert benötigen!",,"Adlerstraße 242, 86633 Neuburg an der Donau",Ausgebucht,2 Einheiten
Pole Beginner First Steps 1 WS,Poledance,"Begann am Sonntag, 12. Januar 2025",,"Budenheimer Parkallee 5, 55257 Budenheim",Polea - Pole and Aerial Dance,https://www.eversports.de/e/workshop/oPJ5qO2,Workshop,,"Der Beginner First Steps 1 Workshop ist für alle diejenigen, die das Pole Fieber in der Schnupperstunde gepackt hat und gerne weiter tanzen würden. Hier erlernst du in 4 Wochen grundlegende Basics. Bitte bring zu diesem Workshop eine lange und auch eine kurze Hose und ein kleines Handtuch mit. Ganz wichtig, bitte creme dich an dem Tag nicht ein, sonst hast du keinen Halt an der Stange.",,"Budenheimer Parkallee 5, 55257 Budenheim","ab 25,00 €",4 Einheiten
Seductive Heels: Sensual Floorwork Dancing,Tanzen,"Sonntag, 2. Februar 2025",,Externe/r Teilnehmer/in,Polearize,https://www.eversports.de/e/workshop/-KfJaTX,Workshop,,"** Wiederholung der Choreo vom 13.10.24 (identisch) Nutze deine Sinnlichkeit und setzte mit dieser sexy Choreo deine verführerische Seite in Szene. Dieser Workshop kombiniert kraftvolle Akzente mit langsamen fließenden Bewegungen – alles in deinen atemberaubenden Heels! Eleganz und sexy Posen boosten dein Körpergefühl und Selbstbewusstsein. Für alle Level, die Spaß am sexy Tanz und High Heels haben, keine Vorkenntnisse erforderlich. Bring bitte deine Heels mit (die Choreo ist für Plateau-Heels geeignet) sowie unbedingt Knieschoner! Zieh‘ das an worin du dich an diesem Tag toll fühlst!",,11:00 - 12:30,Ausgebucht,1 Einheit
Black Velvet Floorflow,Tanzen,"Samstag, 8. März 2025",,Externe/r Teilnehmer/in,Polearize,https://www.eversports.de/e/workshop/1OMuMnU,Workshop,,"Wenn du Tanzen mit und auf dem Boden magst und deinen Körper mal wieder richtig geschmeidig bewegen möchtest, bist du an diesem Samstag goldrichtig in unserem Studio. Wir tanzen gemeinsam eine flowige Floorwork-Choreo, fließen und bodywaven über das Laminat und lassen die Beine schwingen. Unser Song ist eher langsam und lässt uns Zeit für schöne Posen und Ausdrücke.  Vorraussetzugen und Outfit:",,12:00 - 13:30,"ab 40,00 €",1 Einheit
Master your Chair-Poses,Chairdance,"Samstag, 5. April 2025",,Externe/r Teilnehmer/in,Polearize,https://www.eversports.de/e/workshop/kHJvgsF,Workshop,,"Im Chairdance gibt es so unglaublich schöne Tricks und Posen. Lasst uns an diesem Samstag gemeinsam alles ausprobieren! Schon einfaches Sitzen erinnert an Flashdance und spätestens beim Schulterstand wird es akrobatisch 💕👯‍♀️ Wir tanzen heute keine Choreo, sondern schauen uns gemeinsam immer einen einfachen und einen schweren Trick an, den du danach in Ruhe selber ausprobieren kannst. Bring deine Kamera und ein schönes Outfit mit, denn auf dem Stuhl sieht nahezu alles schön aus! 📸 Gerne kannst du dich auch mit deinem/ deiner besten Freund/ Freundin anmelden, dann könnt ihr gegenseitig Bilder von euch machen. Voraussetzungen und Outfit:",,11:00 - 12:30,"ab 40,00 €",1 Einheit
Bauch Beine Po,Bodyfit,"Begann am Dienstag, 7. Januar 2025",,Gesamtticket,PoleathletiX,https://www.eversports.de/e/workshop/N-Ep_Wq,Workshop,,"Der Bauch-Beine-Po-Kurs ist eine effektive Möglichkeit, gezielt die Muskeln in den Bereichen zu trainieren. Es verbessert die Kraft, strafft und formt diese Körperregionen.Unter Anleitung unserer ausgebildeten Trainerin Dana. Sie wird euch 12 Wochen durch das tolle Workout leiten.Buche das Gesamtticket - 12 Wochen für nur 60€ oder über Einzelticket 8€ buchbar. Hansefit Mitglieder können über einfachen Check-in in ihrer App teilnehmen.Das solltest du dabei haben:-etwas zum trinken-saubere Turnschuhe-ein kleines Handtuch",,"Industriestr 10, 22927 Celle","ab 12,00 €",4 Einheiten
Bauch Beine Po,Bodyfit,"Beginnt am Montag, 3. Februar 2025",,"Ticket für Mo. 10.02.2025, 18:00 - 19:00",PoleathletiX,https://www.eversports.de/e/workshop/Wc9odpv,Workshop,,"Der Bauch-Beine-Po-Kurs ist eine effektive Möglichkeit, gezielt die Muskeln in den Bereichen zu trainieren. Es verbessert die Kraft, strafft und formt diese Körperregionen.Unter Anleitung unserer ausgebildeten Trainerin Dana. Sie wird euch 10 Wochen durch das tolle Workout.Hansefit Mitglieder können über einfachen Check-in in ihrer App teilnehmen.Das solltest du dabei haben:-etwas zum trinken-saubere Turnschuhe-ein kleines Handtuch",,"Industriestr 10, 22927 Celle","ab 12,00 €",10 Einheiten
Burlesque Tanz,Exotic,"Sonntag, 2. März 2025",,"Industriestr 10, 22927 Celle",PoleathletiX,https://www.eversports.de/e/workshop/UEbaeJM,Workshop,,"Burlesque ist die Kunst des Teasens und sich selbstbewusst und sexy in seiner Haut zu fühlen. Darum tauchen wir gemeinsam ein in die magische Welt des Burlesque und erlernen eine Stilvolle Choreografie mit einer Feder Boa und einem Hemd, welches wir tänzerisch ablegen ;) Der Workshop ist Open Level, also keine Vorerfahrungen nötig und kann auf heels, wie auch auf Socken getanzt werden. Ich freue mich auf euch! XOXO Miss Lucyfée",,12:30 - 14:00,"ab 35,00 €",1 Einheit
Burlesque X Chair,Exotic,"Sonntag, 2. März 2025",,"Industriestr 10, 22927 Celle",PoleathletiX,https://www.eversports.de/e/workshop/1PuehaN,Workshop,,"Burlesque X Chair Eine sensual chair dance Choreografie mit Federboa und Handschuhen zu authentischer burlesque Musik und dabei sich fühlen wie im Film? Das ist Burlesque x Chair + Wir erlernen eine all Level chair Choreografie, in der wir tänzerisch und verführerisch Handschuhe ablegen ;) Alle Arten von Heels sind erlaubt, aber kein Muss :) und denkt an eure Knieschoner. Let's get sexy together XOXO Miss Lucyfée",,14:00 - 15:30,"ab 38,00 €",1 Einheit
"TAoP Camp - Oleg Zabelin - Three Meters above the Sky (Jumps, Drops, Spins)",Poledance,"Samstag, 1. Februar 2025",,"Gabelsbergerstraße 1, 04317 Leipzig",Poledancestar,https://www.eversports.de/e/workshop/M3a7YtP,Workshop,,"In this class, we will analyze the tricks of the intermediate level and above. The program includes amplitude and multi-component static spins, fly-by, phoenix spin in its various variations, splits from flybys. Pole jumps and flips. all tricks are based solely on techniques that do not require excessive effort, so the class is suitable for everyone who confidently flags in the aisha position.  int/adv",,12:00 - 13:30,"ab 75,00 €",1 Einheit
TAoP Camp - Britt Bloem - Heels Flow,Poledance,"Samstag, 1. Februar 2025",,"Gabelsbergerstraße 1, 04317 Leipzig",Poledancestar,https://www.eversports.de/e/workshop/Y952uyZ,Workshop,,Sanfte Bewegungen um die Stange. Knieschützer und Heels empfohlen. Es geht aber auch ohne ;-) alle Level,,12:00 - 13:30,Ausgebucht,1 Einheit
TAoP Camp - Oleg Zabelin - Amazing Spins,Poledance,"Samstag, 1. Februar 2025",,"Gabelsbergerstraße 1, 04317 Leipzig",Poledancestar,https://www.eversports.de/e/workshop/3FIa87Q,Workshop,,"In this class we will learn original spins on a static pole - In these spins we will use the forearm grip, twist grip, cup grip -We will learn how to use momentum and master all the tricks of moving on a static pole. Let's study the effect of each grip on the movement. These spins don't have names because they are brand new. If you like Phoenix spin, flyby then this class is for you! ab intermediate",,14:15 - 15:45,Ausgebucht,1 Einheit
TAoP Camp - Britt Bloem - Low Flow,Poledance,"Samstag, 1. Februar 2025",,"Gabelsbergerstraße 1, 04317 Leipzig",Poledancestar,https://www.eversports.de/e/workshop/hJ3rIBP,Workshop,,"This workshop is all about creating seamless and seemingly endless movement around the base of the static pole. Combining spins, floorwork and creative little transitions, we will be working with our body - as well as our brain - as sometimes one of the biggest challenges is remembering the full combo :D We will be flying, floating, twirling turning and sliding and of course trying to make it look effortless. Please bring your knee pads. all level",,14:15 - 15:45,Ausgebucht,1 Einheit
TAoP Camp - Deniz Celebi - Stark durch Grenzen,Poledance,"Samstag, 1. Februar 2025",,"Gabelsbergerstraße 1, 04317 Leipzig",Poledancestar,https://www.eversports.de/e/workshop/V4JK3LB,Workshop,,"Hey, ich bin Deniz Celebi – Künstlerin, Achtsamkeitstrainerin und Coach für radikale Selbstliebe und emotionale Freiheit. In meinem intensiven Workshop “Stark durch Grenzen” wirst du lernen, wie wichtig das Setzen und Bewahren von Grenzen für deine emotionale Stärke ist. Gemeinsam erkunden wir, wie wie du klare Grenzen setzt und dich so selbst schützt, um gesunde Verbindungen und tiefes Selbstvertrauen zu fördern. Hier erfährst du, warum Selbstliebe nicht ohne Selbstschutz existieren kann und wie du diese Gegensätze zu deinem Vorteil nutzt. off Pole, alle Level",,16:00 - 17:30,"ab 35,00 €",1 Einheit
TAoP Camp - Britt Bloem - Signature Quickies,Poledance,"Sonntag, 2. Februar 2025",,"Gabelsbergerstraße 1, 04317 Leipzig",Poledancestar,https://www.eversports.de/e/workshop/Qbzj8tr,Workshop,,"Join me for some quickies! If you have seen my Instagram you know I love doing quickies - short, creative and dynamic combos on the static pole. During this workshop, I will teach you many quickies - and how to make them look fluid and smooth. ab intermediate",,10:30 - 12:00,Ausgebucht,1 Einheit
TAoP Camp - Sebastian  - Tanzchoreografie Basic Flow - alle Level,Poledance,"Sonntag, 2. Februar 2025",,"Gabelsbergerstraße 1, 04317 Leipzig",Poledancestar,https://www.eversports.de/e/workshop/_ri3PvT,Workshop,,"Lasst uns in einen kreativen Workshop mit Tanzbasics und Ästhetik eintauchen. Impulse für mehr Flow in euren Übergängen und ein gemeinsamer choreographischer Prozess sollen helfen, Momente wertvoller zu gestalten und eure Routinen mit Eleganz und Leichtigkeit zu füllen. Sebastian hat seine Tanzausbildung unter anderem an der John-Cranko Schule in Stuttgart und an der National Ballet School in Canada erhalten. Nach seiner Bühnenkarriere als Solist beim Leipziger Ballett ist er neben seiner Inspiziententätigkeit als Ballettdozent, Choreograph und Tanzcoach gefragt. Seine Kenntnisse aus über 25 Jahren Tanz kann Sebastian seit letztem Jahr auch in seine Tätigkeit als Health Coordinator des Leipziger Balletts einbringen.",,10:30 - 12:00,"ab 35,00 €",1 Einheit
TAoP Camp - Britt Bloem - My favorite things,Poledance,"Sonntag, 2. Februar 2025",,"Gabelsbergerstraße 1, 04317 Leipzig",Poledancestar,https://www.eversports.de/e/workshop/csabTgw,Workshop,,"In this workshop I will share a selection of my current favorite things with you! You will learn whatever cool tricks, spins and transitions I have been playing with lately and some of my old favorites. The workshop is on static and spinning pole. Lets have some fun and work on some cool new things! int/adv",,12:15 - 13:45,Ausgebucht,1 Einheit
TAoP Camp - Sebastian  - Tanzchoreografie Basic Flow - alle Level,Poledance,"Sonntag, 2. Februar 2025",,"Gabelsbergerstraße 1, 04317 Leipzig",Poledancestar,https://www.eversports.de/e/workshop/lfcRQCa,Workshop,,"Lasst uns in einen kreativen Workshop mit Tanzbasics und Ästhetik eintauchen. Impulse für mehr Flow in euren Übergängen und ein gemeinsamer choreographischer Prozess sollen helfen, Momente wertvoller zu gestalten und eure Routinen mit Eleganz und Leichtigkeit zu füllen. Sebastian hat seine Tanzausbildung unter anderem an der John-Cranko Schule in Stuttgart und an der National Ballet School in Canada erhalten. Nach seiner Bühnenkarriere als Solist beim Leipziger Ballett ist er neben seiner Inspiziententätigkeit als Ballettdozent, Choreograph und Tanzcoach gefragt. Seine Kenntnisse aus über 25 Jahren Tanz kann Sebastian seit letztem Jahr auch in seine Tätigkeit als Health Coordinator des Leipziger Balletts einbringen.",,12:15 - 13:45,"ab 35,00 €",1 Einheit
TAoP Camp - Oleg Zabelin - First Flight,Poledance,"Sonntag, 2. Februar 2025",,"Gabelsbergerstraße 1, 04317 Leipzig",Poledancestar,https://www.eversports.de/e/workshop/oeX1MKJ,Workshop,,"The basics of static spin, departures and dynamics on a static pole. You will learn to use your hands and feet to achieve the most volumetric rotation, creating a zero-gravity effect with minimal loss of strength; - Theory and practice of flags. You will learn the exercises for pumping this element, options for getting out to the flag with the least energy costs; - Basic exercises for the development of muscles, which will help you in the future more confident feel in the force elements.  ab beginner",,14:30 - 16:00,"ab 75,00 €",1 Einheit
TAoP Camp - Liana Zabelina - Exotic intensiv,Poledance,"Sonntag, 2. Februar 2025",,"Gabelsbergerstraße 1, 04317 Leipzig",Poledancestar,https://www.eversports.de/e/workshop/0Cn43rt,Workshop,,"Work on how to hide flaws so that your choreo looks interesting and clean (we will consider the standard mistakes of pole exotic dancers, how you can hide your flaws)- Learn basic flips, somersaults (over-the-shoulder flips, beautiful exits from the stand with and without a pole)- Learn a combo to expand your dance arsenal- Based on the knowledge gained, we will learn choreo beg/int",,14:30 - 16:00,"ab 75,00 €",1 Einheit
Pole Sport (Fortgeschrittene - Mittelstufe),Poledance,"Samstag, 1. März 2025",,Pole Sport (Intermediate),Polefamily-Koblenz,https://www.eversports.de/e/workshop/JsDlEsr,Workshop,,"Dieser Workshop konzentriert sich auf innovative Kombinationen, die gleichzeitig beide Seiten deines Körpers trainieren. Statt immer wieder denselben Trick zu wiederholen, wirst du fließende Sequenzen lernen, die Technik und Kraft in Einklang bringen. Die Bewegungen fordern deine Konzentration und fördern deine Balance und Koordination, sodass du sowohl auf Static als auch Dynamic deine Fähigkeiten erweitern kannst. Frische Inspiration und spannende Herausforderungen erwarten dich! Voraussetzungen: Aisha muss sicher beherrscht werden, sowie ein stabiler Outside Knee Hang oder Inside Knee Hang auf beiden Seiten.",,11:00 - 13:00,"ab 50,00 €",1 Einheit
Pole Exotic (Offenes Level),Poledance,"Samstag, 1. März 2025",,Pole Exotic (Offenes Level),Polefamily-Koblenz,https://www.eversports.de/e/workshop/TGlH3wt,Workshop,,"Diejenigen, die am Pole tanzen, fürchten kein Urteil. Sie wissen, dass der Tanz ihnen unglaubliche Freude bereitet, weil sie eine Vielfalt an Stilen und Choreografien erleben. Sie können jede Rolle annehmen und jede Emotion ausdrücken – das ist ihr Vorteil. Dieses Mal bietet Tati euch eine Choreografie mit einer besonderen Würze an. Ihr werdet wieder diese sexy Kätzchen sein, aber diesmal mit einem frechen, sogar gefährlichen Touch. Wir fügen Emotionen und Tempo hinzu – es wird noch aufregender als zuvor! 😉 Dieser Workshop ist für alle geeignet – vom Anfänger bis zum Intermediate-Level. Egal, wo du stehst, du wirst neue Bewegungen lernen und Spaß haben! 💃",,13:15 - 15:15,"ab 50,00 €",1 Einheit
Handbalancing,Stretching,"Sonntag, 26. Januar 2025",,Einzelticket,Pura Studio,https://www.eversports.de/e/workshop/x6vcu49,Workshop,,"In diesem Workshop erarbeiten wir Schritt für Schritt verschiedene Handbalancing Tricks, Techniken und Figuren, die dir auf deiner Handstand Reise helfen werden. Voraussetzung: keine.",,12:00 - 13:00,"ab 30,00 €",1 Einheit
Acro Yoga Valentinstags-Special,Yoga,"Freitag, 14. Februar 2025",,Einzelticket,Pura Studio,https://www.eversports.de/e/workshop/ND8rTzD,Workshop,,"Du suchst nach einer besonderen Art, den Valentinstag zu verbringen? Dann ist unser Acro Yoga Valentinstags-Special genau das Richtige für dich!In diesem Workshop zeigen dir Maike und Tanja spielerisch erste Acro-Yoga-Figuren, die ideal für Anfänger geeignet sind. Gemeinsam mit deinem Partner oder deiner besten Freundin tauchst du in die Welt des Acro Yoga ein und erlebst, wie Vertrauen, Balance und Teamwork euch noch näher zusammenbringen.Was erwartet dich?   •   Einführung in die Grundlagen des Acro Yoga   •   Beginner-Figuren wie Base (am Boden) und Flyer (in der Luft)   •   Viel Spaß, Lachen und eine neue gemeinsame ErfahrungKeine Vorkenntnisse nötig! Alles, was du mitbringen musst, ist Lust auf Neues, bequeme enge Kleidung und gute Laune. Der Workshop Preis gilt für zwei Personen.",,17:00 - 18:00,"ab 42,90 €",1 Einheit
Needlescale,Stretching,"Sonntag, 23. Februar 2025",,Einzelticket,Pura Studio,https://www.eversports.de/e/workshop/Fy1PM9e,Workshop,,In diesem Workshop zeigen wir dir unsere Lieblings Vorübungen für den Needlescale. Zum Schluss werden wir uns vorsichtig an die Needlescale Position herantasten. Freu dich auf ein intensives Bein- und Rückenstretching!Voraussetzung: Du solltest bereits einige Stretching-Stunden absolviert haben.,,12:00 - 13:30,"ab 35,00 €",1 Einheit
Workshop l Lyrical Pole l Emily | all Level,Poledance,"Samstag, 25. Januar 2025",,Gesamtticket,Pure Motion Kiel,https://www.eversports.de/e/workshop/ge4PGl2,Workshop,,Spill the feels… In diesem Workshop erwartet dich ein Feuerwerk der Gefühle. Vertanzte Emotionen - lasse deinen Gefühlen freien Lauf. Was du brauchst: Wohlfühl-Kleidung (keine kurze Hose nötig) ____________ Instagram Profil: Emily_gemelli,,15:00 - 16:30,"ab 79,00 €",1 Einheit
